model,dnn_type,dataset,lambda_reg,lambda_div,epsilon,num_shapelet,gating_value,pos_weight,beta_schedule,lr,train_epochs,seed,test_accuracy,epoch_stop,eta_mean,eta_std,eta_count,shapelet_score,w_sum_10,w_mean_10,w_sum_5,w_mean_5,w_sum_1,w_mean_1,w_max,w_gini_clip,w_gini_abs
InterpGN,FCN,ArticularyWordRecognition,0.1,10.0,1.0,10,1.0,False,constant,0.005,500,0,0.99,148,0.8690991997718811,0.1582859754562378,0.0,0.0413515269756317,1.0,7.407407247228548e-05,220.0,0.0162962954491376,5676.0,0.4204444587230682,1.0943233966827393,0.736924811929256,0.5079950289162324
InterpGN,FCN,ArticularyWordRecognition,0.1,100.0,1.0,10,1.0,False,constant,0.005,500,0,0.99,131,0.8294464945793152,0.1725239157676696,0.0,0.0444318614900112,1.0,7.407407247228548e-05,201.0,0.0148888891562819,5478.0,0.4057777822017669,1.07234787940979,0.7384687634842798,0.5098860309057349
InterpGN,FCN,ArticularyWordRecognition,0.1,0.0,1.0,5,1.0,False,constant,0.005,500,0,0.99,499,0.9465256929397584,0.1224758103489875,0.0,0.0588790886104106,234.0,0.0346666648983955,1061.0,0.1571851819753646,3541.0,0.5245925784111023,2.3505098819732666,0.8118764565346811,0.6424405129286167
InterpGN,FCN,ArticularyWordRecognition,0.0,0.1,1.0,5,1.0,False,constant,0.005,500,0,0.99,499,0.9586524367332458,0.1129518151283264,0.0,0.0855724066495895,299.0,0.0442962944507598,1293.0,0.1915555596351623,4769.0,0.7065185308456421,2.3535192012786865,0.736511569657082,0.5078086746123437
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,5,1.0,False,constant,0.005,500,0,0.99,499,0.9463171362876892,0.1235296204686164,0.0,0.0611052215099334,243.0,0.0359999984502792,1059.0,0.1568888872861862,3493.0,0.5174815058708191,2.3604485988616943,0.814635388829456,0.6468758370371291
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,5,1.0,False,cosine,0.005,500,0,0.99,289,0.8959317803382874,0.1517142057418823,0.0,0.0596063546836376,99.0,0.0146666662767529,794.0,0.1176296323537826,3994.0,0.5917037129402161,1.8777910470962524,0.7576170813623294,0.5473703260381754
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,2.0,5,1.0,False,constant,0.005,500,0,0.9966666666666668,292,0.957275927066803,0.1099464446306228,0.0,0.0361317209899425,220.0,0.0325925908982753,1075.0,0.1592592597007751,3463.0,0.5130370259284973,2.0981333255767822,0.8309840554951776,0.6444476927848841
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,5.0,5,1.0,False,constant,0.005,500,0,0.9833333333333332,151,0.4073736369609833,0.2601072788238525,0.0,0.0073008458130061,349.0,0.0517037026584148,571.0,0.0845925956964492,803.0,0.1189629659056663,5.213376045227051,0.9629377559956338,0.9260764503453996
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,10.0,5,1.0,False,constant,0.005,500,0,0.9866666666666668,171,0.0118095949292182,0.0107713006436824,0.0,0.0011939301621168,101.0,0.0149629628285765,108.0,0.0160000007599592,122.0,0.0180740747600793,4.56193208694458,0.9471568885203412,0.9751016438831316
InterpGN,FCN,ArticularyWordRecognition,0.1,0.1,0.5,5,1.0,False,constant,0.005,500,0,0.9833333333333332,296,0.7054861187934875,0.2029967755079269,0.0,0.1365973055362701,177.0,0.0262222215533256,944.0,0.1398518532514572,4193.0,0.6211851835250854,2.2072081565856934,0.749073049014945,0.5381838804347986
